"Obs";"Data";"Dia da semana";"Sabor";"Valor";"Satis geral";"Sabor aval";"Rapidez aval";"Preço aval";"Comun aval"
"34";44382;"terça-feira";"Quatro queijos";32;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"35";44382;"terça-feira";"Muçarela";23;"2-Satisfeito";"4-Insatisfeito";"4-Insatisfeito";"2-Satisfeito";"3-Razoável"
"36";44382;"terça-feira";"Calabresa";25;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito"
"37";44382;"terça-feira";"Atum";35;"3-Razoável";"3-Razoável";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito"
"38";44383;"quarta-feira";"Muçarela";23;"3-Razoável";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"39";44383;"quarta-feira";"Frango";31;"2-Satisfeito";"4-Insatisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"40";44383;"quarta-feira";"Napolitana";28;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"4-Insatisfeito";"2-Satisfeito"
"41";44383;"quarta-feira";"Quatro queijos";32;"3-Razoável";"2-Satisfeito";"4-Insatisfeito";"4-Insatisfeito";"2-Satisfeito"
"42";44383;"quarta-feira";"Quatro queijos";32;"2-Satisfeito";"4-Insatisfeito";"3-Razoável";"4-Insatisfeito";"3-Razoável"
"43";44383;"quarta-feira";"Palmito";27;"3-Razoável";"2-Satisfeito";"3-Razoável";"4-Insatisfeito";"3-Razoável"
"44";44383;"quarta-feira";"Napolitana";28;"4-Insatisfeito";"3-Razoável";"4-Insatisfeito";"3-Razoável";"2-Satisfeito"
"45";44383;"quarta-feira";"Frango";31;"3-Razoável";"1-Excelente";"3-Razoável";"2-Satisfeito";"1-Excelente"
"46";44383;"quarta-feira";"Portuguesa";40;"1-Excelente";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"47";44383;"quarta-feira";"Frango";31;"3-Razoável";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"48";44383;"quarta-feira";"Pepperone";30;"2-Satisfeito";"1-Excelente";"3-Razoável";"3-Razoável";"1-Excelente"
"49";44383;"quarta-feira";"Frango";31;"2-Satisfeito";"2-Satisfeito";"4-Insatisfeito";"3-Razoável";"2-Satisfeito"
"50";44383;"quarta-feira";"Portuguesa";40;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito"
"51";44383;"quarta-feira";"Frango";31;"3-Razoável";"2-Satisfeito";"3-Razoável";"2-Satisfeito";"3-Razoável"
"52";44383;"quarta-feira";"Muçarela";23;"4-Insatisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"53";44383;"quarta-feira";"Quatro queijos";32;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito"
"54";44383;"quarta-feira";"Napolitana";28;"2-Satisfeito";"2-Satisfeito";"1-Excelente";"2-Satisfeito";"2-Satisfeito"
"55";44383;"quarta-feira";"Pepperone";30;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito"
"56";44383;"quarta-feira";"Atum";35;"1-Excelente";"3-Razoável";"3-Razoável";"3-Razoável";"4-Insatisfeito"
"57";44383;"quarta-feira";"Pepperone";30;"3-Razoável";"3-Razoável";"2-Satisfeito";"3-Razoável";"2-Satisfeito"
"58";44383;"quarta-feira";"Muçarela";23;"3-Razoável";"4-Insatisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito"
"59";44383;"quarta-feira";"Quatro queijos";32;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"1-Excelente"
"60";44383;"quarta-feira";"Atum";35;"2-Satisfeito";"3-Razoável";"2-Satisfeito";"3-Razoável";"2-Satisfeito"
"61";44383;"quarta-feira";"Portuguesa";40;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito";"2-Satisfeito"
"62";44383;"quarta-feira";"Muçarela";23;"3-Razoável";"2-Satisfeito";"3-Razoável";"2-Satisfeito";"3-Razoável"
"63";44383;"quarta-feira";"Calabresa";25;"1-Excelente";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"64";44383;"quarta-feira";"Frango";31;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito";"2-Satisfeito"
"65";44383;"quarta-feira";"Muçarela";23;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito"
"66";44383;"quarta-feira";"Atum";35;"2-Satisfeito";"3-Razoável";"4-Insatisfeito";"3-Razoável";"2-Satisfeito"
"67";44383;"quarta-feira";"Calabresa";25;"3-Razoável";"1-Excelente";"2-Satisfeito";"2-Satisfeito";"1-Excelente"
"68";44384;"quinta-feira";"Frango";31;"1-Excelente";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"1-Excelente"
"69";44384;"quinta-feira";"Portuguesa";40;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"3-Razoável"
"70";44384;"quinta-feira";"Frango";31;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"3-Razoável"
"71";44384;"quinta-feira";"Atum";35;"1-Excelente";"2-Satisfeito";"4-Insatisfeito";"3-Razoável";"1-Excelente"
"72";44384;"quinta-feira";"Palmito";27;"3-Razoável";"2-Satisfeito";"3-Razoável";"3-Razoável";"3-Razoável"
"73";44384;"quinta-feira";"Atum";35;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"4-Insatisfeito"
"74";44384;"quinta-feira";"Quatro queijos";32;"2-Satisfeito";"2-Satisfeito";"4-Insatisfeito";"3-Razoável";"2-Satisfeito"
"75";44384;"quinta-feira";"Palmito";27;"4-Insatisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito";"3-Razoável"
"76";44384;"quinta-feira";"Portuguesa";40;"4-Insatisfeito";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável"
"77";44384;"quinta-feira";"Atum";35;"3-Razoável";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"78";44384;"quinta-feira";"Muçarela";23;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"1-Excelente"
"79";44384;"quinta-feira";"Muçarela";23;"4-Insatisfeito";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito"
"80";44384;"quinta-feira";"Portuguesa";40;"3-Razoável";"2-Satisfeito";"3-Razoável";"3-Razoável";"3-Razoável"
"81";44384;"quinta-feira";"Napolitana";28;"2-Satisfeito";"4-Insatisfeito";"4-Insatisfeito";"3-Razoável";"3-Razoável"
"82";44384;"quinta-feira";"Muçarela";23;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito";"3-Razoável"
"83";44384;"quinta-feira";"Calabresa";25;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"4-Insatisfeito";"1-Excelente"
"84";44384;"quinta-feira";"Portuguesa";40;"4-Insatisfeito";"3-Razoável";"2-Satisfeito";"2-Satisfeito";"1-Excelente"
"85";44384;"quinta-feira";"Atum";35;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"4-Insatisfeito";"3-Razoável"
"86";44384;"quinta-feira";"Marguerita";29;"2-Satisfeito";"3-Razoável";"3-Razoável";"3-Razoável";"3-Razoável"
"87";44384;"quinta-feira";"Pepperone";30;"2-Satisfeito";"1-Excelente";"3-Razoável";"3-Razoável";"2-Satisfeito"
"88";44384;"quinta-feira";"Atum";35;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito"
"89";44384;"quinta-feira";"Napolitana";28;"1-Excelente";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável"
"90";44384;"quinta-feira";"Quatro queijos";32;"1-Excelente";"2-Satisfeito";"4-Insatisfeito";"3-Razoável";"3-Razoável"
"91";44384;"quinta-feira";"Frango";31;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito"
"92";44384;"quinta-feira";"Frango";31;"1-Excelente";"1-Excelente";"2-Satisfeito";"2-Satisfeito";"4-Insatisfeito"
"93";44384;"quinta-feira";"Portuguesa";40;"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito";"2-Satisfeito"
"94";44384;"quinta-feira";"Calabresa";25;"3-Razoável";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável"
"95";44384;"quinta-feira";"Portuguesa";40;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"1-Excelente"
"96";44385;"sexta-feira";"Pepperone";30;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"3-Razoável"
"97";44385;"sexta-feira";"Quatro queijos";32;"1-Excelente";"2-Satisfeito";"2-Satisfeito";"4-Insatisfeito";"2-Satisfeito"
"98";44385;"sexta-feira";"Calabresa";25;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"4-Insatisfeito"
"99";44385;"sexta-feira";"Atum";35;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"4-Insatisfeito"
"100";44385;"sexta-feira";"Frango";31;"3-Razoável";"3-Razoável";"2-Satisfeito";"3-Razoável";"3-Razoável"
"101";44385;"sexta-feira";"Muçarela";23;"2-Satisfeito";"1-Excelente";"2-Satisfeito";"2-Satisfeito";"1-Excelente"
"102";44385;"sexta-feira";"Napolitana";28;"3-Razoável";"2-Satisfeito";"4-Insatisfeito";"4-Insatisfeito";"2-Satisfeito"
"103";44385;"sexta-feira";"Pepperone";30;"1-Excelente";"3-Razoável";"2-Satisfeito";"3-Razoável";"3-Razoável"
"104";44385;"sexta-feira";"Quatro queijos";32;"2-Satisfeito";"3-Razoável";"2-Satisfeito";"3-Razoável";"3-Razoável"
"105";44385;"sexta-feira";"Frango";31;"1-Excelente";"2-Satisfeito";"4-Insatisfeito";"3-Razoável";"1-Excelente"
"106";44385;"sexta-feira";"Calabresa";25;"1-Excelente";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito"
"107";44385;"sexta-feira";"Atum";35;"1-Excelente";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito"
"108";44385;"sexta-feira";"Muçarela";23;"1-Excelente";"2-Satisfeito";"4-Insatisfeito";"3-Razoável";"2-Satisfeito"
"109";44385;"sexta-feira";"Muçarela";23;"2-Satisfeito";"2-Satisfeito";"4-Insatisfeito";"3-Razoável";"2-Satisfeito"
"110";44385;"sexta-feira";"Portuguesa";40;"1-Excelente";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"111";44385;"sexta-feira";"Pepperone";30;"3-Razoável";"3-Razoável";"2-Satisfeito";"4-Insatisfeito";"1-Excelente"
"112";44385;"sexta-feira";"Frango";31;"1-Excelente";"2-Satisfeito";"3-Razoável";"3-Razoável";"1-Excelente"
"113";44385;"sexta-feira";"Frango";31;"1-Excelente";"2-Satisfeito";"3-Razoável";"3-Razoável";"1-Excelente"
"114";44385;"sexta-feira";"Muçarela";23;"2-Satisfeito";"3-Razoável";"2-Satisfeito";"3-Razoável";"2-Satisfeito"
"115";44385;"sexta-feira";"Portuguesa";40;"2-Satisfeito";"3-Razoável";"3-Razoável";"3-Razoável";"2-Satisfeito"
"116";44385;"sexta-feira";"Pepperone";30;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito";"2-Satisfeito"
"117";44385;"sexta-feira";"Palmito";27;"2-Satisfeito";"2-Satisfeito";"4-Insatisfeito";"2-Satisfeito";"1-Excelente"
"118";44385;"sexta-feira";"Frango";31;"3-Razoável";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"119";44385;"sexta-feira";"Quatro queijos";32;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"120";44385;"sexta-feira";"Marguerita";29;"2-Satisfeito";"1-Excelente";"3-Razoável";"3-Razoável";"2-Satisfeito"
"121";44385;"sexta-feira";"Calabresa";25;"2-Satisfeito";"4-Insatisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável"
"122";44385;"sexta-feira";"Muçarela";23;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito"
"123";44385;"sexta-feira";"Frango";31;"1-Excelente";"1-Excelente";"3-Razoável";"3-Razoável";"3-Razoável"
"124";44385;"sexta-feira";"Atum";35;"2-Satisfeito";"2-Satisfeito";"4-Insatisfeito";"3-Razoável";"3-Razoável"
"125";44385;"sexta-feira";"Calabresa";25;"4-Insatisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito";"3-Razoável"
"126";44385;"sexta-feira";"Muçarela";23;"1-Excelente";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"127";44385;"sexta-feira";"Frango";31;"3-Razoável";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"128";44385;"sexta-feira";"Muçarela";23;"2-Satisfeito";"1-Excelente";"3-Razoável";"3-Razoável";"3-Razoável"
"129";44385;"sexta-feira";"Calabresa";25;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito"
"130";44385;"sexta-feira";"Calabresa";25;"2-Satisfeito";"4-Insatisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito"
"131";44385;"sexta-feira";"Frango";31;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"1-Excelente"
"132";44385;"sexta-feira";"Marguerita";29;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito";"2-Satisfeito"
"133";44385;"sexta-feira";"Portuguesa";40;"2-Satisfeito";"3-Razoável";"2-Satisfeito";"3-Razoável";"1-Excelente"
"134";44385;"sexta-feira";"Frango";31;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"1-Excelente"
"135";44385;"sexta-feira";"Atum";35;"1-Excelente";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito"
"136";44385;"sexta-feira";"Atum";35;"1-Excelente";"3-Razoável";"4-Insatisfeito";"3-Razoável";"1-Excelente"
"137";44385;"sexta-feira";"Quatro queijos";32;"4-Insatisfeito";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito"
"138";44385;"sexta-feira";"Atum";35;"1-Excelente";"1-Excelente";"2-Satisfeito";"3-Razoável";"2-Satisfeito"
"139";44385;"sexta-feira";"Marguerita";29;"3-Razoável";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"1-Excelente"
"140";44385;"sexta-feira";"Calabresa";25;"3-Razoável";"1-Excelente";"2-Satisfeito";"3-Razoável";"3-Razoável"
"141";44385;"sexta-feira";"Calabresa";25;"2-Satisfeito";"3-Razoável";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito"
"142";44385;"sexta-feira";"Marguerita";29;"3-Razoável";"2-Satisfeito";"3-Razoável";"3-Razoável";"4-Insatisfeito"
"143";44385;"sexta-feira";"Portuguesa";40;"2-Satisfeito";"3-Razoável";"2-Satisfeito";"3-Razoável";"2-Satisfeito"
"144";44385;"sexta-feira";"Frango";31;"4-Insatisfeito";"3-Razoável";"3-Razoável";"3-Razoável";"3-Razoável"
"145";44385;"sexta-feira";"Calabresa";25;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito";"1-Excelente"
"146";44385;"sexta-feira";"Atum";35;"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito";"2-Satisfeito"
"147";44385;"sexta-feira";"Napolitana";28;"3-Razoável";"3-Razoável";"2-Satisfeito";"2-Satisfeito";"1-Excelente"
"148";44385;"sexta-feira";"Pepperone";30;"3-Razoável";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"1-Excelente"
"149";44385;"sexta-feira";"Portuguesa";40;"2-Satisfeito";"1-Excelente";"2-Satisfeito";"3-Razoável";"3-Razoável"
"150";44385;"sexta-feira";"Frango";31;"1-Excelente";"3-Razoável";"4-Insatisfeito";"3-Razoável";"2-Satisfeito"
"151";44385;"sexta-feira";"Calabresa";25;"2-Satisfeito";"1-Excelente";"2-Satisfeito";"3-Razoável";"1-Excelente"
"152";44385;"sexta-feira";"Calabresa";25;"3-Razoável";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"153";44385;"sexta-feira";"Napolitana";28;"4-Insatisfeito";"1-Excelente";"3-Razoável";"3-Razoável";"3-Razoável"
"154";44385;"sexta-feira";"Pepperone";30;"2-Satisfeito";"1-Excelente";"3-Razoável";"3-Razoável";"3-Razoável"
"155";44386;"sábado";"Atum";35;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"156";44386;"sábado";"Calabresa";25;"3-Razoável";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"1-Excelente"
"157";44386;"sábado";"Atum";35;"1-Excelente";"3-Razoável";"3-Razoável";"4-Insatisfeito";"2-Satisfeito"
"158";44386;"sábado";"Frango";31;"1-Excelente";"2-Satisfeito";"4-Insatisfeito";"3-Razoável";"3-Razoável"
"159";44386;"sábado";"Quatro queijos";32;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito"
"160";44386;"sábado";"Pepperone";30;"2-Satisfeito";"2-Satisfeito";"4-Insatisfeito";"3-Razoável";"3-Razoável"
"161";44386;"sábado";"Portuguesa";40;"3-Razoável";"3-Razoável";"3-Razoável";"2-Satisfeito";"2-Satisfeito"
"162";44386;"sábado";"Napolitana";28;"3-Razoável";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"4-Insatisfeito"
"163";44386;"sábado";"Frango";31;"3-Razoável";"3-Razoável";"4-Insatisfeito";"2-Satisfeito";"2-Satisfeito"
"164";44386;"sábado";"Frango";31;"3-Razoável";"2-Satisfeito";"2-Satisfeito";"4-Insatisfeito";"3-Razoável"
"165";44386;"sábado";"Muçarela";23;"3-Razoável";"2-Satisfeito";"2-Satisfeito";"4-Insatisfeito";"2-Satisfeito"
"166";44386;"sábado";"Portuguesa";40;"3-Razoável";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito"
"167";44386;"sábado";"Frango";31;"3-Razoável";"4-Insatisfeito";"3-Razoável";"3-Razoável";"3-Razoável"
"168";44386;"sábado";"Frango";31;"2-Satisfeito";"3-Razoável";"3-Razoável";"3-Razoável";"2-Satisfeito"
"169";44386;"sábado";"Calabresa";25;"2-Satisfeito";"4-Insatisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito"
"170";44386;"sábado";"Quatro queijos";32;"1-Excelente";"2-Satisfeito";"3-Razoável";"2-Satisfeito";"2-Satisfeito"
"171";44386;"sábado";"Portuguesa";40;"3-Razoável";"4-Insatisfeito";"3-Razoável";"2-Satisfeito";"2-Satisfeito"
"172";44386;"sábado";"Atum";35;"2-Satisfeito";"2-Satisfeito";"4-Insatisfeito";"4-Insatisfeito";"2-Satisfeito"
"173";44386;"sábado";"Pepperone";30;"2-Satisfeito";"3-Razoável";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito"
"174";44386;"sábado";"Napolitana";28;"1-Excelente";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"175";44386;"sábado";"Frango";31;"3-Razoável";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito"
"176";44386;"sábado";"Portuguesa";40;"3-Razoável";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"177";44386;"sábado";"Palmito";27;"2-Satisfeito";"2-Satisfeito";"4-Insatisfeito";"3-Razoável";"2-Satisfeito"
"178";44386;"sábado";"Marguerita";29;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"1-Excelente"
"179";44386;"sábado";"Quatro queijos";32;"1-Excelente";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"180";44386;"sábado";"Portuguesa";40;"3-Razoável";"2-Satisfeito";"4-Insatisfeito";"2-Satisfeito";"3-Razoável"
"181";44386;"sábado";"Pepperone";30;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito"
"182";44386;"sábado";"Atum";35;"2-Satisfeito";"3-Razoável";"3-Razoável";"3-Razoável";"2-Satisfeito"
"183";44386;"sábado";"Quatro queijos";32;"3-Razoável";"2-Satisfeito";"3-Razoável";"3-Razoável";"4-Insatisfeito"
"184";44386;"sábado";"Portuguesa";40;"3-Razoável";"2-Satisfeito";"3-Razoável";"2-Satisfeito";"2-Satisfeito"
"185";44386;"sábado";"Muçarela";23;"3-Razoável";"4-Insatisfeito";"3-Razoável";"2-Satisfeito";"1-Excelente"
"186";44386;"sábado";"Frango";31;"3-Razoável";"2-Satisfeito";"3-Razoável";"2-Satisfeito";"2-Satisfeito"
"187";44386;"sábado";"Atum";35;"4-Insatisfeito";"3-Razoável";"3-Razoável";"4-Insatisfeito";"3-Razoável"
"188";44386;"sábado";"Marguerita";29;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"4-Insatisfeito";"2-Satisfeito"
"189";44386;"sábado";"Portuguesa";40;"1-Excelente";"1-Excelente";"2-Satisfeito";"3-Razoável";"2-Satisfeito"
"190";44386;"sábado";"Portuguesa";40;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"3-Razoável"
"191";44386;"sábado";"Muçarela";23;"2-Satisfeito";"3-Razoável";"2-Satisfeito";"3-Razoável";"4-Insatisfeito"
"192";44386;"sábado";"Palmito";27;"2-Satisfeito";"4-Insatisfeito";"3-Razoável";"3-Razoável";"3-Razoável"
"193";44386;"sábado";"Portuguesa";40;"3-Razoável";"4-Insatisfeito";"3-Razoável";"2-Satisfeito";"2-Satisfeito"
"194";44386;"sábado";"Muçarela";23;"3-Razoável";"2-Satisfeito";"1-Excelente";"3-Razoável";"2-Satisfeito"
"195";44386;"sábado";"Muçarela";23;"2-Satisfeito";"3-Razoável";"3-Razoável";"3-Razoável";"1-Excelente"
"196";44386;"sábado";"Atum";35;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito";"2-Satisfeito"
"197";44386;"sábado";"Frango";31;"4-Insatisfeito";"3-Razoável";"3-Razoável";"3-Razoável";"2-Satisfeito"
"198";44386;"sábado";"Quatro queijos";32;"2-Satisfeito";"4-Insatisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"199";44386;"sábado";"Portuguesa";40;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito"
"200";44386;"sábado";"Marguerita";29;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"201";44386;"sábado";"Atum";35;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito"
"202";44386;"sábado";"Calabresa";25;"2-Satisfeito";"4-Insatisfeito";"4-Insatisfeito";"3-Razoável";"2-Satisfeito"
